none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
UI.MakeMoney_4_Promotion_6,Direct members,प्रत्यक्ष सदस्य,สมาชิกโดยตรง,Direct members,直接成員,Thành viên trực tiếp,Anggota langsung,ప్రత్యక్ష సభ్యులు,थेट सदस्य,Membros diretos(novos),Miembros directos
UI.MakeMoney_4_Promotion_12,Enter ID,आईडी दर्ज करें,โปรดใส่ ID,Enter ID,輸入身份證,Nhập ID,masukan ID,ఐడిని నమోదు చేయండి,आयडी प्रविष्ट करा,Introduz ID,Ingresar ID
UI.MakeMoney_4_Promotion_13,ID,आईडी,รหัส,ID,ID,ID,ID,ఐడి,आयडी,ID,Identificación
UI.MakeMoney_4_Promotion_15,Betting,शर्त,การเดิมพัน,Betting,投注,Cược,Bertaruh,బెట్టింగ్,बेटिंग,Apostar,Apuesta
UI.MakeMoney_4_Promotion_17,Recharge,फिर से दाम लगाना,เติมเงิน,Recharge,充值,Nạp,Pengisian ulang,రీఛార్జ్,पुनर्भरण,Recarrega,Recargo
UI.MakeMoney_4_Promotion_19,All,सब,ทั้งหมด,所有,所有,Tất cả,semua,అందరూ,सर्व,Todo,Todos
UI.MakeMoney_4_Promotion_20,Today,आज,วันนี้,Today,今天,Hôm nay,Hari ini,ఈ రోజు,आज,Hoje,Hoy
UI.MakeMoney_4_Promotion_22,This week,इस सप्ताह,ในสัปดาห์นี้,This week,本星期,Tuần này,Minggu ini,ఈ వారం,या आठवड्यात,Essa semana,Esta semana
UI.MakeMoney_4_Promotion_23,Last week,पिछले सप्ताह,สัปดาห์ที่แล้ว,Last week,上週,Tuần trước,Minggu kemarin,గత వారం,गेल्या आठवड्यात,Semana Anterior,Semana pasada
UI.MakeMoney_4_Promotion_24,This month,इस महीने,เดือนนี้,This month,這個月,Tháng này,Bulan ini,ఈ నెల,या महिन्यात,1 mês,Este mes
UI.MakeMoney_4_Promotion_32,1 day,1 दिन,1 วัน,1 day,1天,1 ngày,1 Hari,1 రోజు,1 दिवस,1 dia,Día 1
UI.MakeMoney_4_Promotion_33,3 days,3 दिन,3 วัน,3 days,3天,3 ngày,3 Hari,3 రోజులు,3 दिवस,3 dias,Día 3
UI.MakeMoney_4_Promotion_36,Deposit Amount,जमा राशि,จำนวนเงินฝาก,Deposit value,存款金額,Số tiền gửi,Jumlah Setoran,Deposit value,Deposit value,Valor do depósito,Cantidad del depósito
UI.MakeMoney_5_Withdrawal_3,Time,पहर,เวลา,时间,時間,Thời gian,waktu,సమయం,वेळ,Hora,Tiempo tiempo
UI.MakeMoney_5_Withdrawal_6,Status,स्थिति,สถานะ,Status,狀態,Trạng thái,Status,స్థితి,स्थिती,Status,Estado
UI.MakeMoney_6_Direct_3,Search,खोज,ค้นหา,Search,搜索,Tìm kiếm,Pencarian,వెతకండి,शोध,Procurar,Buscar
UI.Head_1_name_2,16 English digits,16 अंग्रेजी अंक,ตัวอักษรอังกฤษและตัวเลข 16 หลัก,16 English digits,16 位英文數字,12 chữ số tiếng anh,16 digit bahasa inggris,16 ఆంగ్ల అంకెలు,16 इंग्रजी अंक,16 dígitos,16 dígitos ingleses
UI.Notice_0_main_1,Promotions,गतिविधि,โปรโมชั่น,Activity,促銷活動,Khuyến mãi,Promosi,కార్యాచరణ,क्रियाकलाप,promoção,Promociones
UI.Notice_0_main_2,Notice,नोटिस,สังเกต,Notice,注意,Chú ý,Melihat,నోటీసు,सूचना,Aviso,noticia
UI.Notice_left,Left,बाएं,เสร็จสิ้น,Left,結束,bên trái,kiri,Left,Left,Restante,izquierda
UI.OrderType_1,Successf,सफल,Successf,Successf,成功,Thành công,Berhasil,Successf,Successf,Bem-sucedido,Exitoso
UI.OrderType_2,In Reocess,रीकेस में,In Reocess,In Reocess,處理中,Đang cập nhật,Di Reocess,In Reocess,In Reocess,En Receso,En Receso
UI.OrderType_3,Cancelled,रद्द कर दिया,Cancelled,Cancelled,拒絕,Đã hủy,Dibatalkan,Cancelled,Cancelled,Cancelado,Cancelado
UI.Service_0_main_2,Copy PIX Code,प्रतिलिपि,คัดลอกรหัส PIX,Copy,複製 PIX 代碼,Sao chép mã PIX,Salin Kode PIX,కాపీ,प्रत,Copiar Código PIX,Copiar código PIX
UI_copy,Copy,प्रतिलिपि,คัดลอก,Copy,複製,Sao chép,Salinan,Copy,Copy,cópia de,copiar 
UI.Settings_0_main_1,Settings,समायोजन,ตั้งค่า,Settings,設置,Cài đặt,Pengaturan,సెట్టింగులు,सेटिंग्ज,Conjunto,ajustes
UI.Settings_0_main_2,Sound,ध्वनि,เสียง,Sound,聲音,Âm thanh,Suara,ధ్వని,आवाज,Som,Sonido
UI.Settings_0_main_3,Vibration,कंपन,การสั่นสะเทือน,Vibration,振動,Rung,Getaran,కంపనం,कंप,Vibração,vibración
UI.Settings_0_main_5,Help,मदद,ช่วยเหลือ,Help,幫助,Giúp đỡ,Bantuan,సహాయం,मदत,Ajuda,Ayuda
UI.Settings_0_main_6,Logout,लॉग आउट,ออกจากระบบ,Logout,登出,Đăng xuất,Keluar,లాగ్ అవుట్,लॉग बाहेर,Sair,Cerrar sesión
UI.Settings_1_Help_2,Pure Sequence,शुद्ध अनुक्रम,ลำดับที่บริสุทธิ์,Pure Sequence,純序列,Sảnh thuần khiết,Rangkaian Sempurna,స్వచ్ఛమైన క్రమం,शुद्ध क्रम,Sequência Pura,secuencia pura (escalera de color)
UI.Settings_1_Help_9,Unfold,उधेड़ना,ขยาย,Show,展開,Lật bài,Pertunjukan,చూపించు,दाखवा,Desdobrar,Desplegar
UI.Settings_1_Help_15,Score,स्कोर,คะแนน,Score,分數,Điểm,Skor,స్కోరు,धावसंख्या:,Pontuação,puntuación
UI_Music,Music,संगीत: पर,เพลง：เปิด,Music,音樂：開,Nhạc,Musik,Music,Music,Soar,Música
UI_LoginMailText,LoginMailText,कृपया ईमेल प्रकार चुनें,กรุณาเลือกประเภทอีเมล์,LoginMailText,請選擇郵箱類型,Vui lòng chọn loại email,Silakan pilih jenis email,LoginMailText,LoginMailText,Selecione o tipo de e-mail,Seleccione el tipo correo electrónico
UI.Login_0_main_1,Phone number,फ़ोन नंबर,หมายเลขโทรศัพท์,Phone number,電話號碼,Số điện thoại,Nomor telepon,ఫోను నంబరు,फोन नंबर,Telefone n.o,Número de teléfono
UI.Login_0_main_2,New Password,नया पासवर्ड,รหัสผ่าน,Password,新密碼,Mật khẩu mới,Sandi Baru,పాస్వర్డ్,संकेतशब्द,Nova Senha,Nueva contraseña
UI.Login_0_main_10,Code,कोड,รหัสยืนยัน,OTP,驗證碼,Mã số,Kode,OTP,OTP,Código,Código
UI.Login_0_main_11,Change,परिवर्तन,แก้ไข,Change,修改,Thay đổi,Perubahan,మార్పు,बदल,Mudar,Cambiar 
UI.Login_0_main_22,<<Login,<<लॉग इन करें,<< เข้าสู่ระบบ,<<Login,<<登錄,<< Đăng nhập,<<Masuk,<< లాగిన్,लॉगिन,<<Entrar,<<iniciar sesión
UI.System_1,"No operation,leave the room","कोई ऑपरेशन नहीं, कमरा छोड़ दो",ไม่มีการดำเนินการ ออกจากห้อง,"No operation,leave the room",無操作，離開房間,"Không thao tác, rời khỏi phòng","Tidak ada operasi, keluar dari ruangan","ఆపరేషన్ లేదు, గదిని వదిలివేయండి","ऑपरेशन नाही, खोली सोडा","Sem operação, saiam da sala","no hay operación, salga de la habitación"
UI.System_2,Please enter your Mobile Phone Number,कृपया अपना मोबाइल फ़ोन नंबर दर्ज करें,กรุณาใส่หมายเลขโทรศัพท์ของคุณ,Please enter your Mobile Phone Number,請輸入您的手機號碼,Hãy nhập số điện thoại di động của bạn,Silakkan masukan Nomor Ponsel Anda,దయచేసి మీ మొబైల్ ఫోన్ నంబర్,कृपया आपला मोबाइल फोन नंबर प्रविष्ट करा,"Por favor, introduza seu número de telefone celular",por favor ingrese su número móvil
UI.System_4,Please input password,कृपया पासवर्ड डालें,กรุณาใส่รหัสผ่าน,Please input password,請輸入密碼,Hãy nhập mật khẩu,Silakkan masukan kata sandi,దయచేసి పాస్వర్డ్ను ఇన్పుట్ చేయండి,कृपया संकेतशब्द प्रविष्ट करा,"Por favor, introduzir a senha",por favor ingrese la contraseña
UI.System_7,Sorry we are updating our system right now please try again later,क्षमा करें हम अपने सिस्टम को अभी अपडेट कर रहे हैं कृपया बाद में पुनः प्रयास करें,ขออภัย เรากำลังอัปเดตระบบของเราในขณะนี้ โปรดลองอีกครั้งในภายหลัง,Sorry we are updating our system right now please try again later,抱歉，我們現在正在更新我們的系統，請稍後再試,"Rất tiếc, chúng tôi hiện đang cập nhật hệ thống, vui lòng thử lại sau","Mohon maaf, kami sedang melakukan perbaikan sistem saat ini, silakkan coba beberapa saat lagi","క్షమించండి, మేము ప్రస్తుతం మా సిస్టమ్",क्षमस्व आम्ही आत्ता आमची सिस्टम अद्यतनित करीत आहोत कृपया नंतर पुन्हा प्रयत्न करा,Desculpe que estamos atualizando nosso sistema agora por favor tente de novo mais tarde,"Lo sentimos, estamos actualizando nuestro sistema en este momento. por favor, Vuelva a intentarlo más tarde."
UI.System_10,Redemption amount is wrong,मोचन राशि गलत है,จำนวนเงินที่แลกเปลี่ยนไม่ถูกต้อง,Redemption amount is wrong,兌換金額錯誤,Số tiền đổi thưởng sai,Jumlah penebusan salah,విముక్తి మొత్తం తప్పు,विमोचन रक्कम चुकीची आहे,A quantidade de redenção esta errada,el importe del canje es incorrecto
UI.System_14,Please enter the withdrawal amount,कृपया निकासी राशि दर्ज करें,กรุณาใส่จำนวนเงินที่จะถอน,Please enter the exchange amount,請輸入提款金額,Hãy nhập số tiền rút,Silakan masukan jumlah penarikan,దయచేసి మార్పిడి మొత్తాన్ని నమోదు చేయండి,कृपया विनिमय रक्कम प्रविष्ट करा,Por favor ingrese el monto del retiro,por favor ingrese el monto del retiro
UI.System_15,bind Success！,बाइंड सक्सेस！,การผูกมัดสำเร็จ,bind Success！,綁定成功！,Liên kết thành công!,penautan Sukses！,విజయవంతం!,यशस्वी बंधन！,Ligação bem sucedida,¡vinculación exitosa!
UI.System_17,Please enter the UserName,कृपया उपयोगकर्ता नाम दर्ज करें,กรุณาใส่ชื่อผู้ใช้,Please enter the UserName,請輸入用戶名,Hãy nhập tên người dùng,Silakan masukan Nama Pengguna,దయచేసి వినియోగదారు పేరును నమోదు చేయండి,कृपया वापरकर्तानाव प्रविष्ट करा,Introduzir o Nome de Usuario,por favor ingrese el nombre de usuario
UI.System_18,Please enter Phone,कृपया फ़ोन दर्ज करें,กรุณาใส่หมายเลขโทรศัพท์,Please enter Phone,請輸入電話,Hãy nhập điện thoại,Silakan masukan Telepon,దయచేసి ఫోన్ నంబర్,कृपया फोन प्रविष्ट करा,"Por favor, introduzir o telefone",por favor ingrese teléfono
UI.System_19,Please enter Email,कृपया ईमेल दर्ज करें,กรุณาใส่อีเมลของคุณ,Please enter Email,請輸入郵箱,Hãy nhập Email,Silakan masukan Email,దయచేసి ఇమెయిల్,कृपया ईमेल प्रविष्ट करा,"Por favor, introduzir o Email",por favor ingrese correo electrónico
UI.System_20,Please enter the correct email,कृपया सही ईमेल दर्ज करें,กรุณาใส่อีเมล,Please enter the correct email,請輸入正確的郵箱,Hãy nhập đúng email,masukan email yang benar,దయచేసి సరైన ఇమెయిల్,कृपया योग्य ईमेल प्रविष्ट करा,Escreva o correto e-mail,por favor ingrese correctamente el correo electrónico 
UI.System_22,Please enter the amount,कृपया राशि दर्ज करें,กรุณาใส่จำนวนเงิน,Please enter the amount,請輸入金額,Hãy nhập số tiền,masukan jumlahnya,దయచేసి మొత్తాన్ని నమోదు చేయండి,कृपया रक्कम प्रविष्ट करा,"Por favor, inserir a quantidade",por favor ingrese el importe
UI.System_24,Please enter your nickname,कृपया अपना उपनाम दर्ज करें,กรุณาใส่ชื่อเล่นของคุณ,Please enter your nickname,請輸入您的暱稱,Hãy nhập nickname của bạn,Silakan masukan nama panggilan Anda,దయచేసి మీ మారుపేరు నమోదు చేయండి,कृपया आपले टोपणनाव प्रविष्ट करा,"Por favor, introduzir seu apelido",por favor ingrese su apodo
UI.System_25,Activity time end,गतिविधि का समय समाप्त,กิจกรรมสิ้นสุดลง,Activity time end,活動時間結束,Thời gian hoạt động kết thúc,Waktu aktivitas berakhir,కార్యాచరణ సమయం ముగింపు,क्रियाकलाप वेळ समाप्त,Tempo de atividade final,fin de tiempo de actividad
UI.System_26,The Maximum recharge amount is,अधिकतम रिचार्ज राशि है,จำนวนการเติมสูงสุดคือ,The Maximum recharge amount is,最大充值金額為,Số tiền nạp tối đa là,Jumlah pengisian ulang maksimum adalah,గరిష్ట రీఛార్జ్ మొత్తం,जास्तीत जास्त रिचार्ज रक्कम आहे,A quantidade máxima de recarga é,el importe máximo de recarga es 
UI.System_27,The minimum recharge amount is,न्यूनतम रिचार्ज राशि है,จำนวนเงินที่เติมขั้นต่ำคือ,The minimum recharge amount is,最低充值金額為,Số tiền nạp tối thiểu là,Jumlah pengisian ulang minimum adalah,కనీస రీఛార్జ్ మొత్తం,किमान पुनर्भरण रक्कम आहे,A quantidade mínima de recarga é,el importe mínimo de recarga es 
UI.System_34,Not enough chips，Unable to enter the room，please recharge.,"चिप्स कम हैं। कमरे में प्रवेश करने में असमर्थ, कृपया रिचार्ज करें।",ชิปไม่พอ เข้าห้องไม่ได้ กรุณาเติมเงินก่อน,Not enough chips，Unable to enter the room，please recharge.,籌碼不足，無法進房，請充值。,"Không đủ Phỉnh, không thể vào phòng, hãy đi nạp.",Chips tidak cukup，Tidak dapat memasuki ruangan，silakan melakukan pengisian ulang.,తగినంత చిప్స్ లేవు the గదిలోకి ప్రవేశించడం సాధ్యం కాలేదు ， దయచేసి రీఛార్జ్ చేయండి.,"पुरेशी चिप्स नाही, खोलीत प्रवेश करण्यात अक्षम ， कृपया रिचार्ज करा","Não há moedas suficientes, não é possível entrar na sala, por favor recarregue.","no hay suficientes fichas, no se puede ingresar a la sala, por favor recargue"
UI.System_36,"Insufficient gold coins, please recharge!","अपर्याप्त सोने के सिक्के, कृपया रिचार्ज करें!",เหรียญทองไม่เพียงพอ โปรดเติมเงิน!,"Insufficient gold coins, please recharge!",金幣不足，請充值！,"Không đủ xu vàng, hãy đi nạp!","Koin emas tidak mencukupi, silakkan melakukan pengisian ulang!","తగినంత బంగారు నాణేలు, దయచేసి రీఛార్జ్ చేయండి!","अपुरी सोन्याची नाणी, कृपया रिचार्ज करा","Moedas de ouro insuficientes, por favor recarregue!","monedas de oro insuficientes, ¡recargue!"
UI.System_42,"There is a new version, please go to update","There is a new version, please go to update","There is a new version, please go to update","There is a new version, please go to update","There is a new version, please go to update","Đã có phiên bản mới, mời các bạn cập nhật","There is a new version, please go to update","There is a new version, please go to update","There is a new version, please go to update","There is a new version, please go to update","There is a new version, please go to update"
UI.System_43,Your account is logged in elsewhere. please log in again,कृपया फिर भाग लें,บัญชีของคุณได้เข้าสู่ระบบในที่อื่นแล้ว กรุณาเข้าสู่ระบบอีกครั้ง,please login again,您的帳戶已在其他地方登錄。請重新登錄,Tài khoản của bạn được đăng nhập ở nơi khác. Hãy đăng nhập lại,Akun Anda masuk di tempat lain. silahkan masuk lagi,దయచేసి మళ్ళీ లాగిన్ అవ్వండి,कृपया पुन्हा लॉगिन करा,Sua conta está logada em outro lugar. faça login novamente,"su cuenta ha iniciado sesión en otro lugar, por favor inicia sesión de nuevo"
UI.System_44,"Network connection failed, please check your network status","नेटवर्क कनेक्शन विफल, कृपया अपनी नेटवर्क स्थिति जांचें",การเชื่อมต่อเครือข่ายล้มเหลว โปรดตรวจสอบสถานะเครือข่ายของคุณ,"Network connection failed, please check your network status",網絡連接失敗，請檢查您的網絡狀態,"Kết nối mạng thất bại, hãy kiểm tra trạng thái mạng của bạn","Koneksi jaringan gagal, harap periksa status jaringan Anda",నెట్,"नेटवर्क कनेक्शन अयशस्वी, कृपया आपली नेटवर्क स्थिती तपासा","A conexão de rede falhou, por favor verifique seu status de rede","la conexión de red falló, por favor verifique el estado de su red"
UI.System_45,Please input your email,कृपया अपना ईमेल डालें,กรุณาใส่อีเมลของคุณ,Please input your email,請輸入您的郵箱,Hãy nhập email của bạn,Silahkan masukan email anda,Please input your emai,Please input your email,Por favor insira seu e-mail,por favor ingrese su correo electrónico
UI.System_46,Account is suspend .Please contact customer service,खाता निलंबित है। कृपया ग्राहक सेवा से संपर्क करें,บัญชีถูกอายัดแล้ว โปรดติดต่อฝ่ายบริการลูกค้า,Account is suspend .Please contact customer service,賬號被凍結，請聯繫客服,Tài khoản bị đình chỉ. Vui lòng liên hệ với dịch vụ khách hàng,Akun ditangguhkan. Hubungi layanan pelanggan,Account is suspend .Please contact customer service,Account is suspend .Please contact customer service,A conta está suspensa. Entre em contato com o atendimento ao cliente,Account is suspend .Please contact customer service
UI.System_47,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error,Beneficiary Name error
UI.System_48,"Your password has been changed, please login again","आपका पासवर्ड बदल दिया गया है, कृपया दोबारा लॉगिन करें।",รหัสผ่านของคุณมีการเปลี่ยนแปลง กรุณาเข้าสู่ระบบอีกครั้ง,"The password has been changed, please log in again","The password has been changed, please log in again","Mật khẩu của bạn đã được thay đổi, vui lòng đăng nhập lại","Kata sandi Anda telah diubah, silakan login kembali","మీ పాస్వర్డ్ మార్చబడింది, దయచేసి మళ్లీ లాగిన్ చేయండి","तुमचा पासवर्ड बदलला आहे, कृपया पुन्हा लॉग इन करा","Sua senha foi alterada, faça login novamente","Su contraseña ha sido cambiada, inicie sesión nuevamente"
Sys_BetCount,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit,Betting chips exceeding the limit
UI.Common_Ruppe,₹,₹,₹,₹,₹,₹,₹,₹,₹,₹,₹
Toast_RoomInfo_Error,"The room information request failed, error code:","कमरे की जानकारी का अनुरोध विफल, त्रुटि कोड:",คำขอข้อมูลห้องล้มเหลว รหัสผิดพลาด:,"The room information request failed, error code:",房間信息請求失敗，錯誤碼：,"Yêu cầu thông tin phòng thất bại, mã lỗi:","Permintaan informasi ruangan gagal, kode kesalahan:","గది సమాచార అభ్యర్థన విఫలమైంది, లోపం కోడ్:","खोली माहिती विनंती अयशस्वी, त्रुटी कोड:","O pedido de informação da sala falhou, código de erro:","la solicitud de infromación de la habitación falló, código de error:"
HallGame_Tip_1,Please wait for the game to end before exiting the room,कृपया कमरे से बाहर निकलने से पहले खेल समाप्त होने की प्रतीक्षा करें,โปรดรอเกมจบก่อนค่อยออกจากห้อง,Please wait for the game to end before exiting the room,請等待遊戲結束後再退出房間,Hãy đợi trò chơi kết thúc rồi mới rời khỏi phòng,Harap tunggu hingga permainan berakhir sebelum keluar dari ruangan,గది నుండి నిష్క్రమించే ముందు ఆట ముగిసే వరకు వేచి ఉండండి,खोली सोडण्यापूर्वी कृपया गेम समाप्त होण्याची प्रतीक्षा करा,"Por favor, espere que o jogo acabe antes de sair da sala",Espera a que termine el juego antes de salir de la sala
HallGame_Tip_2,Please select the bet amount,कृपया शर्त राशि का चयन करें,กรุณาเลือกจำนวนเงินในการเดิมพัน,Please select the bet amount,請選擇投注金額,Hãy chọn số tiền đặt cược,Silakan pilih jumlah taruhan,దయచేసి పందెం మొత్తాన్ని ఎంచుకోండి,कृपया पैजांची रक्कम निवडा,Por favor escolha a quantidade de aposta,por favor seleccione el monto de la apuesta
HallGame_Tip_7,"Insufficient gold coins, please recharge in time","अपर्याप्त सोने के सिक्के, कृपया समय में रिचार्ज करें",เหรียญทองไม่เพียงพอ โปรดเติมเงิน,"Insufficient gold coins, please recharge in time",金幣不足，請及時充值,"Không đủ xu vàng, hãy nạp lại kịp thời","Koin emas tidak mencukupi, harap isi ulang tepat waktu","తగినంత బంగారు నాణేలు, దయచేసి సమయానికి రీఛార్జ్ చేయండి","अपुरी सोन्याची नाणी, कृपया वेळेत रिचार्ज करा","Moedas de ouro insuficientes, por favor recarregue em tempo","modenas de oro insuficientes, recargue cuando quieras"
HallGameDownTip,Please wait while the S{game} bill is being settled,Please wait while the S{game} bill is being settled,ขณะนี้อยู่ระหว่างชำระบิลS{game} โปรดรอสักครู่,Please wait while the S{game} bill is being settled,正在結算 S{game} 賬單，請稍候,Vui lòng đợi trong khi đang thanh toán hóa đơn S,Harap tunggu sementara tagihan S{permainan} diselesaikan,Please wait while the S{game} bill is being settled,Please wait while the S{game} bill is being settled,"Por favor, esperem enquanto a lei S{game} está sendo liquidada",Espera mientras se liquida la factura de S{game}
HallSettlement,settlement,settlement,การตกตะกอน,settlement,沉降,Tổng kết,penyelesaian,settlement,settlement,assentamento,asentamiento
Error_Define_50001,Room status error,कमरे की स्थिति त्रुटि,สถานะห้องไม่ถูกต้อง,Room status error,房間狀態錯誤,Lỗi trạng thái phòng,Kesalahan status ruangan,గది స్థితి లోపం,खोलीची स्थिती त्रुटी,Erro no status da sala,error de estado de la habitación
Error_Define_50002,Player not found,खिलाड़ी नहीं मिले,ไม่พบเครื่องเล่น,Player not found,找不到播放器,Không tìm thấy người chơi,Pemain tidak ditemukan,ప్లేయర్ కనుగొనబడలేదు,प्लेअर आढळला नाही,O jogador não foi encontrado,jugador no encontrado
Error_Define_50003,Unknown message,अज्ञात संदेश,ข้อความที่ไม่รู้จัก,Unknown message,未知消息,Tin nhắn không xác định,Pesan tidak dikenal,తెలియని సందేశం,अज्ञात संदेश,Mensagem desconhecida,mensaje desconocido
Error_Define_50004,Card mismatch,कार्ड मिसमैच,การ์ดไม่ตรงกัน,Card mismatch,卡不匹配,Thẻ không khớp,Ketidakcocokan kartu,కార్డ్ అసమతుల్యత,कार्ड जुळत नाही,Cartão incompatível,desajuste de la carta
Error_Define_50005,Doubling is illegal,दोहरीकरण अवैध है,การเพิ่มขึ้นหลายเท่าผิดกฎ,Doubling is illegal,翻倍是違法的,Nhân đôi là không hợp lệ,Menggandakan adalah ilegal,రెట్టింపు చేయడం చట్టవిరుద్ధం,दुप्पट करणे बेकायदेशीर आहे,Doblar é ilegal,doblar es ilegal
Error_Define_50006,Pour water,पानी डालना,เทน้ำ,Pour water,倒水,Rót nước,Menuang air,నీటి కోసం,पाणी ओता,Verse água,verter agua
Error_Define_50007,Bank grab / insufficient bet amount,बैंक हड़पने / अपर्याप्त शर्त राशि,ปล้นธนาคาร/จำนวนเงินเดิมพันไม่เพียงพอ,Bank grab / insufficient bet amount,搶銀行/下注金額不足,Ngân hàng đặt cược/số tiền đặt cược không đủ,Pengambilan bank / jumlah taruhan tidak mencukupi,బ్యాంక్ గ్రాబ్ / తగినంత పందెం మొత్తం,बँक हडपणे / अपुरी पैजांची रक्कम,Gravação bancária / quantidade insuficiente de apostas,apropiación del banco/cantidad de apuesta insuficiente
Error_Define_50008,Gold inadequate,सोना अपर्याप्त है,ทองคำไม่พอ,Gold inadequate,黃金不足,Không đủ vàng,Emas tidak memadai,బంగారం సరిపోదు,सोनं अपुरी,Ouro inadequado,oro inadecuado
Error_Define_50009,Wrong bet position,गलत शर्त,ตำแหน่งการเดิมพันไม่ถูกต้อง,Wrong bet position,錯誤的投注位置,Vị trí đặt cược sai,Posisi taruhan salah,తప్పు పందెం స్థానం,चुकीची पैज स्थिती,Posição errada de aposta,posición de apuesta incorrecta
Error_Define_50010,Bet exceeds the dealer amount,बेट डीलर राशि से अधिक है,ยอดเดิมพันมากกว่าจำนวนเงินของเจ้ามือ,Bet exceeds the dealer amount,賭注超過莊家金額,Đặt cược vượt quá số tiền nhà cái,Taruhan melebihi jumlah dealer,పందెం డీలర్ మొత్తాన్ని మించిపోయింది,पैज डीलरच्या रकमेपेक्षा जास्त आहे,A aposta excede a quantidade do dealer,Apuesta excede la cantidad de crupier
Error_Define_50011,Bet more than the allowed amount,अनुमत राशि से अधिक शर्त,ยอดเดิมพันเกินขีดจำกัดสูงสุดแล้ว,Bet more than the allowed amount,投注超過允許的金額,Đặt cược nhiều hơn số tiền cho phép,Taruhan lebih dari jumlah yang diizinkan,అనుమతించిన మొత్తం కంటే ఎక్కువ పందెం,परवानगी रकमेपेक्षा अधिक पण,Aposto mais do que a quantidade permitida,Apuesta mas de la cantidad permitida
Error_Define_50014,"Cannot place a bet if there are not enough coins {S1}, please recharge!","यदि पर्याप्त सिक्के {S1} नहीं हैं तो कृपया एक दांव लगाएं, कृपया रिचार्ज करें!",เหรียญไม่พอ ไม่สามารถเดิมพันได้{S1} โปรดเติมเงิน,"Cannot place a bet if there are not enough coins {S1}, please recharge!",幣不夠{S1}無法下注，請充值！,"Không thể đặt cược nếu không đủ xu, hãy đi nạp!","Tidak dapat memasang taruhan jika koin tidak cukup {S1}, Silakkan melakukan pengisian ulang!","తగినంత నాణేలు {S1} లేకపోతే పందెం ఉంచలేరు, దయచేసి రీఛార్జ్ చేయండి!","तेथे {S1} नाणी नसल्यास पैज लावता येत नाही, कृपया रिचार्ज करा!","Não pode apostar se não há moedas suficientes {S1}, por favor recarregue!","no se puede hacer una apuesta si no hay suficientes monedas {S1}, ¡recargue!"
Error_Define_528000,This round has already ended,ये दौर पहले ही खत्म हो चुका है,เกมรอบนี้จบแล้ว,This round has already ended,本輪已經結束,Vòng này đã kết thúc,Babak ini telah berakhir,This round has already ended,This round has already ended,Esta rodada já terminou,esta ronda ya ha terminado
Error_Join_Hall,"The number of people in the game room exceeds the limit, please try later","गेम रूम में लोगों की संख्या सीमा से अधिक है, कृपया बाद में प्रयास करें",จำนวนคนในห้องเกมเกินขีดจำกัดแล้ว โปรดลองอีกครั้งในภายหลัง,"The number of people in the game room exceeds the limit, please try later",遊戲房間人數超過限制，請稍後再試,"Số người trong phòng game vượt quá giới hạn, vui lòng thử lại sau","Jumlah orang di ruang permainan telah melebihi batas, silakan coba lagi nanti","The number of people in the game room exceeds the limit, please try later","The number of people in the game room exceeds the limit, please try later","O número de pessoas na sala de jogos excede o limite, tente mais tarde.","el número de personas en la sala de juegos supera el límite, inténtalo más tarde"
UI_Round,Round,गोल,กลม,Round,圓形的,Vòng,Bulat,రౌండ్,वाटोळा,Redondo,ronda
UI_Nearly_Round,Nearly 20 rounds,अंतिम 20 खेल,20 รอบล่าสุด,Nearly 20 rounds,近20輪,Gần 20 vòng,Hampir 20 putaran,దాదాపు 20 రౌండ్లు,जवळपास 20 फे .्या,Quase 20 rounds,casi 20 rondas
UI_Victory_Trend,Victory trend,विजय की प्रवृत्ति,แนวโน้มที่ชนะ,Victory trend,勝利趨勢,Xu hướng thắng,Tren kemenangan,విజయ ధోరణి,विजय ट्रेंड,Tenda de vitória,tendencia de la victoria
UI_Stop_Betting,Stop betting,सट्टेबाजी बंद करो,หยุดเดิมพัน,Stop betting,停止投注,Dừng cược,Berhenti bertaruh,బెట్టింగ్ ఆపండి,सट्टेबाजी थांबवा,Pare de apostar,dejar de apostar 
UI_Start_Betting,Start betting,सट्टेबाजी शुरू करो,เริ่มเดิมพัน,Start betting,開始投注,Bắt đầu đặt cược,Mulai bertaruh,బెట్టింగ్ ప్రారంభించండి,सट्टेबाजी सुरू करा,Começa a apostar,empezar a apostar
UI_GameLHDZPlayeList,Player List,खिलाड़ी सूची,รายชื่อผู้เล่นบอล,Player List,球員名單,Danh sách người chơi,Daftar Pemain,ప్లేయర్ జాబితా,प्लेअर यादी,Lista de jogadores,lista de jugadores
HallGame_Compete_State,Dealer,विक्रेता,ผู้แจกไพ่,Dealer,發牌者,Người phát bài,Pembagi kartu,డీలర్,विक्रेता,Dealer,Dealer/repartidor
